Owned Area - Building Inventory 2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
District,Fin-Sub,Chrgbl Fin No,PO Name,Unit Name,Property Address,County,City,ST,ZIP Code,Property Status,Ownership,FDB ID (All),AMS Locale Key (All),FDB Facility Type (All),FDB Facility Subtype (All),Building Ownership Description,Land Desc,Space Certified Indicator,Bldg Occu Date,Int Sq Ft
Northern New England,506608-G02,506608,RUTLAND,CARRIER ANNEX,173 WEST ST,RUTLAND,RUTLAND,VT,05701-9990,Active,Owned,1380170,V26930,Post Office,Administrative Post Office (APO),"USPS Building, Not Prev. Leased","USPS Land, Not Prev. Leased",Yes,10/1/1998,"20,542"
Northern New England,507560-G01,507560,SPRINGFIELD,MAIN OFFICE,132 MAIN ST,WINDSOR,SPRINGFIELD,VT,05156-9998,Active,Owned,1382590,V27064,Post Office,Main Post Office,"USPS Building, Transferred","USPS Land, Transferred",No,10/1/1937,"6,412"
Northern New England,506720-G01,506720,ST. JOHNSBURY,MAIN OFFICE,1153 MAIN ST RM 100,CALEDONIA,SAINT JOHNSBURY,VT,05819-9998,Active,Owned,1380374,V26956,Post Office,Administrative Post Office (APO),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,1/1/1966,"18,083"
Northern New England,509353-G01,509353,WHITE RIVER JUNCTION,P&DC,195 SYKES MOUNTAIN AVE,WINDSOR,WHITE RIVER JUNCTION,VT,05001-9997,Active,Owned,1434626,V27271,Post Office,Administrative Post Office (APO),"USPS Building, Prev. Leased","USPS Land, Prev. Leased",Yes,2/1/1984,"76,906"
Northern New England,509353-G01,509353,WHITE RIVER JUNCTION,P&DC,195 SYKES MOUNTAIN AVE,WINDSOR,WHITE RIVER JUNCTION,VT,05001-9997,Active,Owned,1441077,V27270,Mail Processing,Processing and Distribution Center/Facility (PDC/PDF),"USPS Building, Prev. Leased","USPS Land, Prev. Leased",Yes,2/1/1984,"76,906"
Northern New England,509492-G01,509492,WILLIAMSVILLE,MAIN OFFICE,67 DOVER RD,WINDHAM,WILLIAMSVILLE,VT,05362-9998,Active,Owned,1387776,V27281,Post Office,Remotely Managed Post Office (RMPO),"USPS Building, Prev. Leased","USPS Land, Prev. Leased",Yes,10/1/1980,"4,118"
Northern New England,509576-G01,509576,WINDSOR,MAIN OFFICE,57 MAIN ST,WINDSOR,WINDSOR,VT,05089-9998,Active,Owned,1387950,V27288,Post Office,Main Post Office,"USPS Building, Not Prev. Leased","USPS Land, Not Prev. Leased",Yes,6/1/1958,"9,745"
Northern New England,509660-G01,509660,WOODSTOCK,MAIN OFFICE,22 CENTRAL ST,WINDSOR,WOODSTOCK,VT,05091-9998,Active,Owned,1388246,V27303,Post Office,Administrative Post Office (APO),"USPS Building, Not Prev. Leased","USPS Land, Not Prev. Leased",Yes,1/1/1938,"7,428"
Total,,,,,,,,,,,,,,,,,,,,"521,589"
Count,,,,,,,,,,,,,,,,,,,,23
